Afghanistan,Save the Children,10
Albania,International Rescue Committee,11
Algeria,Partners in Health,12
American Samoa,Catholic Relief Services,13
Andorra,Direct Relief,14
Angola,Doctors Without Borders/Médecins Sans Frontières,15
Antigua and Barbuda,Oxfam America,16
Argentina,UNICEF,17
Armenia,Boys & Girls Clubs of America,18
Australia,CASA,19
Austria,March of Dimes,20
Azerbaijan,National Center for Missing and Exploited Children,21
Bahrain,Partnership for a Drug-Free America,22
Bangladesh,Reach Out and Read,23
Barbados,Save the Children,24
Belarus,International Rescue Committee,25
Belgium,Partners in Health,26
Belize,Catholic Relief Services,27
Benin,Direct Relief,28
Bermuda,Doctors Without Borders/Médecins Sans Frontières,29
Bhutan,Oxfam America,30
Bolivia,UNICEF,31
Bosnia and Herzegovina,Boys & Girls Clubs of America,32
Botswana,CASA,33
Brazil,March of Dimes,34
Brunei,National Center for Missing and Exploited Children,35
Bulgaria,Partnership for a Drug-Free America,36
Burkina Faso,Reach Out and Read,37
Burundi,Save the Children,38
Cambodia,International Rescue Committee,39
Cameroon,Partners in Health,40
Canada,Catholic Relief Services,41
Cape Verde,Direct Relief,42
Central African Republic,Doctors Without Borders/Médecins Sans Frontières,43
Chad,Oxfam America,44
Chile,UNICEF,45
China,Boys & Girls Clubs of America,46
Colombia,CASA,47
Comoros,March of Dimes,48
Congo,National Center for Missing and Exploited Children,49
Costa Rica,Partnership for a Drug-Free America,50
Cote d'Ivoire,Reach Out and Read,51
Croatia,Save the Children,52
Cuba,International Rescue Committee,53
Cyprus,Partners in Health,54
Czech Republic,Catholic Relief Services,55
Democratic Republic of the Congo,Direct Relief,56
Denmark,Doctors Without Borders/Médecins Sans Frontières,57
Djibouti,Oxfam America,58
Dominica,UNICEF,59
Dominican Republic,Boys & Girls Clubs of America,60
Ecuador,CASA,61
Egypt,March of Dimes,62
El Salvador,National Center for Missing and Exploited Children,63
Equatorial Guinea,Partnership for a Drug-Free America,64
Eritrea,Reach Out and Read,65
Estonia,Save the Children,66
Ethiopia,International Rescue Committee,67
Federated States of Micronesia,Partners in Health,68
